Field,ID,Type (类型),default,en-us,zh-cn
Description,2,文本,"Arc Share allows users to share files over local aera network, including photos, videos, music and any file that you want. All you need is Arc Share and web browser, and it's not required to install another client on your receiving devices. This app is beta version and it's functions are not fully completed. If you drop into any error, please contact the developer in the Settings tab or use Windows Feedback to contact me.",,Arc Share 能够让用户在局域网之间传递文件，而不需任何流量连接，照片、视频、音乐以及任何你能想到的文件都可以。你只需要Arc Share和浏览器，并不需要在接收端设备额外安装多余的客户端。这个App目前还在测试阶段，一些功能并没有完成，所以使用过程中可能会遇到问题，请在设置栏联系开发者。
ReleaseNotes,3,文本,1.1.8 Fixed some bugs,,1.1.8 修复了一些错误
Title,4,文本,Arc Share,,Arc Share
ShortTitle,5,文本,Arc Share,,Arc Share
SortTitle,6,文本,Arc Share,,
VoiceTitle,7,文本,Arc Share,,Arc Share
ShortDescription,8,文本,"Offering you a quick, offline file sharing between any platforms.",,一个快速、跨平台的文件分享方式
DevStudio,9,文本,Copper Dev,,Copper Dev
SupportContactInfo,10,URL 或电子邮件地址,i@copperion.com,,
PrivacyPolicyUrl,11,URL,https://www.copperion.com/license/privacy_zh.html,,
CopyrightTrademarkInformation,12,文本,,,
AdditionalLicenseTerms,13,文本,,,
Website,14,URL,http://www.copperion.com/arc-share,,
DesktopScreenshot1,100,相对路径(或指向开发人员中心文件的 URL),ListingData/image/1.png,,ListingData/image/1.cn.png
DesktopScreenshot2,101,相对路径(或指向开发人员中心文件的 URL),ListingData/image/2.png,,ListingData/image/2.cn.png
DesktopScreenshot3,102,相对路径(或指向开发人员中心文件的 URL),ListingData/image/3.png,,ListingData/image/3.cn.png
DesktopScreenshot4,103,相对路径(或指向开发人员中心文件的 URL),ListingData/image/4.png,,ListingData/image/4.cn.png
DesktopScreenshot5,104,相对路径(或指向开发人员中心文件的 URL),ListingData/image/5.png,,ListingData/image/5.cn.png
DesktopScreenshot6,105,相对路径(或指向开发人员中心文件的 URL),,,
DesktopScreenshot7,106,相对路径(或指向开发人员中心文件的 URL),,,
DesktopScreenshot8,107,相对路径(或指向开发人员中心文件的 URL),,,
DesktopScreenshot9,108,相对路径(或指向开发人员中心文件的 URL),,,
DesktopScreenshot10,109,相对路径(或指向开发人员中心文件的 URL),,,
DesktopScreenshotCaption1,150,文本,,,
DesktopScreenshotCaption2,151,文本,,,
DesktopScreenshotCaption3,152,文本,,,
DesktopScreenshotCaption4,153,文本,,,
DesktopScreenshotCaption5,154,文本,,,
DesktopScreenshotCaption6,155,文本,,,
DesktopScreenshotCaption7,156,文本,,,
DesktopScreenshotCaption8,157,文本,,,
DesktopScreenshotCaption9,158,文本,,,
DesktopScreenshotCaption10,159,文本,,,
MobileScreenshot1,200,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot2,201,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot3,202,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot4,203,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot5,204,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot6,205,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot7,206,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot8,207,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot9,208,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshot10,209,相对路径(或指向开发人员中心文件的 URL),,,
MobileScreenshotCaption1,250,文本,,,
MobileScreenshotCaption2,251,文本,,,
MobileScreenshotCaption3,252,文本,,,
MobileScreenshotCaption4,253,文本,,,
MobileScreenshotCaption5,254,文本,,,
MobileScreenshotCaption6,255,文本,,,
MobileScreenshotCaption7,256,文本,,,
MobileScreenshotCaption8,257,文本,,,
MobileScreenshotCaption9,258,文本,,,
MobileScreenshotCaption10,259,文本,,,
XboxScreenshot1,300,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot2,301,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot3,302,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot4,303,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot5,304,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot6,305,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot7,306,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot8,307,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot9,308,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshot10,309,相对路径(或指向开发人员中心文件的 URL),,,
XboxScreenshotCaption1,350,文本,,,
XboxScreenshotCaption2,351,文本,,,
XboxScreenshotCaption3,352,文本,,,
XboxScreenshotCaption4,353,文本,,,
XboxScreenshotCaption5,354,文本,,,
XboxScreenshotCaption6,355,文本,,,
XboxScreenshotCaption7,356,文本,,,
XboxScreenshotCaption8,357,文本,,,
XboxScreenshotCaption9,358,文本,,,
XboxScreenshotCaption10,359,文本,,,
HolographicScreenshot1,400,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot2,401,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot3,402,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot4,403,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot5,404,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot6,405,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot7,406,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot8,407,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot9,408,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshot10,409,相对路径(或指向开发人员中心文件的 URL),,,
HolographicScreenshotCaption1,450,文本,,,
HolographicScreenshotCaption2,451,文本,,,
HolographicScreenshotCaption3,452,文本,,,
HolographicScreenshotCaption4,453,文本,,,
HolographicScreenshotCaption5,454,文本,,,
HolographicScreenshotCaption6,455,文本,,,
HolographicScreenshotCaption7,456,文本,,,
HolographicScreenshotCaption8,457,文本,,,
HolographicScreenshotCaption9,458,文本,,,
HolographicScreenshotCaption10,459,文本,,,
StoreLogo720x1080,600,相对路径(或指向开发人员中心文件的 URL),,,
StoreLogo1080x1080,601,相对路径(或指向开发人员中心文件的 URL),,,
StoreLogo300x300,602,相对路径(或指向开发人员中心文件的 URL),,,
PromoImage1920x1080,606,相对路径(或指向开发人员中心文件的 URL),,,
PromoImage2400x1200,607,相对路径(或指向开发人员中心文件的 URL),,,
XboxBrandedKeyArt584x800,608,相对路径(或指向开发人员中心文件的 URL),,,
XboxTitledHero1920x1080,609,相对路径(或指向开发人员中心文件的 URL),,,
XboxFeaturedPromo1080x1080,610,相对路径(或指向开发人员中心文件的 URL),,,
SearchTerm1,900,文本,File,,文件
SearchTerm2,901,文本,Share,,共享
SearchTerm3,902,文本,LAN,,局域网
SearchTerm4,903,文本,Transfer,,传输
SearchTerm5,904,文本,Offline,,离线
SearchTerm6,905,文本,,,
SearchTerm7,906,文本,,,
TrailerToPlayAtTopOfListing,999,相对路径(或指向开发人员中心文件的 URL),,,
Trailer1,1000,相对路径(或指向开发人员中心文件的 URL),,,
Trailer2,1001,相对路径(或指向开发人员中心文件的 URL),,,
Trailer3,1002,相对路径(或指向开发人员中心文件的 URL),,,
Trailer4,1003,相对路径(或指向开发人员中心文件的 URL),,,
Trailer5,1004,相对路径(或指向开发人员中心文件的 URL),,,
Trailer6,1005,相对路径(或指向开发人员中心文件的 URL),,,
Trailer7,1006,相对路径(或指向开发人员中心文件的 URL),,,
Trailer8,1007,相对路径(或指向开发人员中心文件的 URL),,,
Trailer9,1008,相对路径(或指向开发人员中心文件的 URL),,,
Trailer10,1009,相对路径(或指向开发人员中心文件的 URL),,,
Trailer11,1010,相对路径(或指向开发人员中心文件的 URL),,,
Trailer12,1011,相对路径(或指向开发人员中心文件的 URL),,,
Trailer13,1012,相对路径(或指向开发人员中心文件的 URL),,,
Trailer14,1013,相对路径(或指向开发人员中心文件的 URL),,,
Trailer15,1014,相对路径(或指向开发人员中心文件的 URL),,,
TrailerTitle1,1020,文本,,,
TrailerTitle2,1021,文本,,,
TrailerTitle3,1022,文本,,,
TrailerTitle4,1023,文本,,,
TrailerTitle5,1024,文本,,,
TrailerTitle6,1025,文本,,,
TrailerTitle7,1026,文本,,,
TrailerTitle8,1027,文本,,,
TrailerTitle9,1028,文本,,,
TrailerTitle10,1029,文本,,,
TrailerTitle11,1030,文本,,,
TrailerTitle12,1031,文本,,,
TrailerTitle13,1032,文本,,,
TrailerTitle14,1033,文本,,,
TrailerTitle15,1034,文本,,,
TrailerThumbnail1,1040,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail2,1041,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail3,1042,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail4,1043,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail5,1044,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail6,1045,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail7,1046,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail8,1047,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail9,1048,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail10,1049,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail11,1050,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail12,1051,相对路径(或指向开发人员中心文件的 URL),,,
